tick,time,Steer,Brake,Throttle,Distance_Bicycle,Distance_Motorbike,Distance_SmallCar,Location_X,Location_Y,Location_Z,Rotation_Pitch,Rotation_Yaw,Rotation_Roll,Speed_kmh,Heading,GNSS_Latitude,GNSS_Longitude,Height,Reverse,Hand_Brake,Manual,Gear,Collision_History,Nearby_Vehicles_Count,Nearby_Vehicles_Details
536,21:46:11:429,-0.0004028320254292339,0.0,0.0,110.04455430536723,94.17448275372705,308.4793819209694,-161.23373413085938,33.3701057434082,6.719693660736084,3.090339422225952,0.7345814108848572,0.06182999163866043,80.46303124549637,NE,,,,False,False,False,5,,,
537,21:46:11:450,-0.0004028320254292339,0.0,0.0,110.04455430536723,94.17448275372705,308.4793819209694,-161.23373413085938,33.3701057434082,6.719693660736084,3.090339422225952,0.7345814108848572,0.06182999163866043,80.46303124549637,NE,,,,False,False,False,5,,,
538,21:46:11:477,0.0013092041481286287,0.0,0.0,111.8124330240434,92.40548746540915,306.711066109129,-159.46633911132812,33.396236419677734,6.811336994171143,3.0872316360473633,0.7118332982063293,0.05771486833691597,80.75022193169569,NE,,,,False,False,False,5,,,
539,21:46:11:498,0.0013092041481286287,0.0,0.0,112.21313256734409,92.0045595867734,306.31028762760224,-159.06576538085938,33.40205001831055,6.832127571105957,3.083632230758667,0.7101606130599976,0.05675167962908745,80.76632123216562,NE,,,,False,False,False,5,,,
540,21:46:11:597,0.0013092041481286287,0.0,0.0,114.45092644786871,89.7656271004415,304.0721580561144,-156.82875061035156,33.43391418457031,6.94836950302124,3.0432724952697754,0.7175449728965759,0.05245707184076309,80.52914669631652,NE,,,,False,False,False,5,,,
541,21:46:11:646,0.0013092041481286287,0.0,0.0,115.59050058347154,88.62555838197495,302.93247739779326,-155.6896209716797,33.449851989746094,7.007617473602295,3.014749765396118,0.7296329736709595,0.050493646413087845,80.24190401244175,NE,,,,False,False,False,5,,,
542,21:46:11:656,0.0013092041481286287,0.0,0.0,115.59050058347154,88.62555838197495,302.93247739779326,-155.6896209716797,33.449851989746094,7.007617473602295,3.014749765396118,0.7296329736709595,0.050493646413087845,80.24190401244175,NE,,,,False,False,False,5,,,
543,21:46:11:745,0.0011077881790697575,0.0,0.9932669997215271,117.8372462328025,86.37798290322569,300.68563077913313,-153.44383239746094,33.48100662231445,7.12443208694458,2.957137107849121,0.763962984085083,0.04636754095554352,79.46993930724366,NE,,,,False,False,False,5,,,
544,21:46:11:760,0.0011077881790697575,0.0,0.9932669997215271,118.14058862500323,86.07454113531628,300.38228342128735,-153.140625,33.48520278930664,7.140195846557617,2.9503819942474365,0.7692413926124573,0.04584427550435066,79.35580567812816,NE,,,,False,False,False,5,,,
545,21:46:11:820,-0.002114868490025401,0.0,0.9932669997215271,119.40354648288674,84.8112112206359,299.1193340006456,-151.8782501220703,33.50253677368164,7.205802917480469,2.9263670444488525,0.7825011014938354,0.04626879468560219,78.89667337952189,NE,,,,False,False,False,5,,,
546,21:46:11:847,-0.002114868490025401,0.0,0.9932669997215271,119.40354648288674,84.8112112206359,299.1193340006456,-151.8782501220703,33.50253677368164,7.205802917480469,2.9263670444488525,0.7825011014938354,0.04626879468560219,78.89667337952189,NE,,,,False,False,False,5,,,
547,21:46:11:868,-0.002114868490025401,0.0,0.9932669997215271,119.40354648288674,84.8112112206359,299.1193340006456,-151.8782501220703,33.50253677368164,7.205802917480469,2.9263670444488525,0.7825011014938354,0.04626879468560219,78.89667337952189,NE,,,,False,False,False,5,,,
548,21:46:11:913,-0.0026184087619185448,0.0,0.9932669997215271,121.16367368892831,83.05068404375854,297.3592969693381,-150.11898803710938,33.52628707885742,7.2971110343933105,2.911081075668335,0.7737980484962463,0.04812639579176903,78.38781980413842,NE,,,,False,False,False,5,,,
549,21:46:11:939,-0.003927614539861679,0.0,0.9932669997215271,121.96370651090264,82.2505154002093,296.55933337924046,-149.31936645507812,33.53691101074219,7.33855676651001,2.912078380584717,0.7599053382873535,0.048821114003658295,78.22679327738516,NE,,,,False,False,False,5,,,
550,21:46:12:015,-0.004733280278742313,0.0,0.9932669997215271,123.56391785303796,80.65013870927795,294.95932390932927,-147.7200164794922,33.55755615234375,7.42138147354126,2.925199031829834,0.7065204977989197,0.05163325369358063,78.02608732042924,NE,,,,False,False,False,5,,,
551,21:46:12:046,-0.004733280278742313,0.0,0.9932669997215271,124.11516358066994,80.09887352885414,294.40817074513546,-147.16908264160156,33.56443786621094,7.449894905090332,2.9321794509887695,0.6805636882781982,0.052667900919914246,77.98958631387279,NE,,,,False,False,False,5,,,
552,21:46:12:090,-0.005136113613843918,0.0,0.9932669997215271,125.21598345828774,78.99807755527833,293.30757295466776,-146.06890869140625,33.57773971557617,7.506821632385254,2.9480597972869873,0.6184189915657043,0.05465235933661461,77.96041018480902,NE,,,,False,False,False,5,,,
553,21:46:12:117,-0.005136113613843918,0.0,0.9932669997215271,125.6823610214822,78.53173691288123,292.8413045205454,-145.60281372070312,33.58317565917969,7.530938625335693,2.955012798309326,0.5885077118873596,0.05538046732544899,77.96423637658923,NE,,,,False,False,False,5,,,
554,21:46:12:138,-0.005136113613843918,0.0,0.9932669997215271,125.6823610214822,78.53173691288123,292.8413045205454,-145.60281372070312,33.58317565917969,7.530938625335693,2.955012798309326,0.5885077118873596,0.05538046732544899,77.96423637658923,NE,,,,False,False,False,5,,,
555,21:46:12:164,-0.005136113613843918,0.0,0.9932669997215271,125.6823610214822,78.53173691288123,292.8413045205454,-145.60281372070312,33.58317565917969,7.530938625335693,2.955012798309326,0.5885077118873596,0.05538046732544899,77.96423637658923,NE,,,,False,False,False,5,,,
556,21:46:12:187,-0.005136113613843918,0.0,0.9932669997215271,127.38479569011312,76.82959964453181,291.13936508577063,-143.90147399902344,33.60179901123047,7.618960380554199,2.9811041355133057,0.46499475836753845,0.05799960345029831,78.0478042546435,N,,,,False,False,False,5,,,
557,21:46:12:302,-0.004934696946293116,0.0,0.9932669997215271,129.00688279097662,75.20805133773234,289.51789272717417,-142.280517578125,33.61745071411133,7.7028350830078125,3.004183292388916,0.33327120542526245,0.06010887026786804,78.21400562066805,N,,,,False,False,False,5,,,
558,21:46:12:355,-0.0027191168628633022,0.0,0.9932669997215271,131.05351623565238,73.1625073913082,287.4722549400917,-140.23544311523438,33.633731842041016,7.808683395385742,3.0289907455444336,0.15982064604759216,0.06167052686214447,78.51594633166435,N,,,,False,False,False,5,,,
559,21:46:12:382,-0.0027191168628633022,0.0,0.9932669997215271,131.4157146145939,72.80055043809742,287.1102576042097,-139.87353515625,33.636207580566406,7.827417850494385,3.032801866531372,0.13106407225131989,0.061277586966753006,78.57818835050466,N,,,,False,False,False,5,,,
560,21:46:12:456,-0.0027191168628633022,0.0,0.9932669997215271,133.28739045405064,70.93037386220868,285.2397460379503,-138.00343322753906,33.64693832397461,7.924246788024902,3.0499866008758545,-0.00555419921875,0.05951711907982826,78.93384919980102,N,,,,False,False,False,5,,,
561,21:46:12:477,-0.0027191168628633022,0.0,0.9932669997215271,133.59298658566468,70.62506345262692,284.9343593772658,-137.69810485839844,33.64834976196289,7.94005823135376,3.0524113178253174,-0.0262451171875,0.05929456278681755,78.99673394791898,N,,,,False,False,False,5,,,
562,21:46:12:530,-0.0027191168628633022,0.0,0.9932669997215271,134.7956279909169,69.42366615697668,283.732600261922,-136.49655151367188,33.652950286865234,8.002285957336426,3.0612359046936035,-0.1040649339556694,0.058567676693201065,79.25509034521885,N,,,,False,False,False,5,,,
563,21:46:12:555,-0.0027191168628633022,0.0,0.9932669997215271,134.7956279909169,69.42366615697668,283.732600261922,-136.49655151367188,33.652950286865234,8.002285957336426,3.0612359046936035,-0.1040649339556694,0.058567676693201065,79.25509034521885,N,,,,False,False,False,5,,,
564,21:46:12:574,-0.0027191168628633022,0.0,0.9932669997215271,134.7956279909169,69.42366615697668,283.732600261922,-136.49655151367188,33.652950286865234,8.002285957336426,3.0612359046936035,-0.1040649339556694,0.058567676693201065,79.25509034521885,N,,,,False,False,False,5,,,
565,21:46:12:622,-0.0027191168628633022,0.0,0.9932669997215271,136.60017513826443,67.62134662160979,281.92953866412614,-134.6937255859375,33.656986236572266,8.09566879272461,3.072143793106079,-0.2121581882238388,0.05692305415868759,79.67114845550945,N,,,,False,False,False,5,,,
566,21:46:12:645,-0.0027191168628633022,0.0,0.9932669997215271,137.38121119089348,66.84141384632943,281.14920560893745,-133.91346740722656,33.657676696777344,8.136091232299805,3.0761053562164307,-0.2564392387866974,0.0558321587741375,79.86005078004766,N,,,,False,False,False,5,,,
567,21:46:12:743,-0.0027191168628633022,0.0,0.9932669997215271,139.6251676489069,64.60099285725146,278.90726190185785,-131.671630859375,33.6563606262207,8.247867584228516,2.837827444076538,-0.3712463080883026,0.05254800245165825,80.44228519489582,N,,,,False,False,False,5,,,
568,21:46:12:791,-0.0027191168628633022,0.0,0.0,140.31186663517414,63.91548065659915,278.2211649730091,-130.98553466796875,33.65500259399414,8.280535697937012,2.7088050842285156,-0.4040831923484802,0.051285404711961746,80.62882560205078,N,,,,False,False,False,5,,,
