tick,time,steerCmd,brakeCmd,throttleCmd,distance1,distance2
1762,22:25:04:908,0.0,0.0,0.0,105.69026341984986,54.34345663157374
1763,22:25:04:923,0.0,0.0,0.0,105.69026341984986,54.34345663157374
1764,22:25:04:940,0.0,0.0,0.0,105.69026341984986,54.34345663157374
1765,22:25:04:955,0.0,0.0,0.0,105.69026341984986,54.34345663157374
1766,22:25:04:970,0.0,0.0,0.0,105.69026341984986,54.34345663157374
1767,22:25:04:987,0.0,0.0,0.0,105.69026341984986,54.34345663157374
1768,22:25:05:004,0.0,0.0,0.0,105.69026341984986,54.34345663157374
1769,22:25:05:059,0.0,0.0,0.0,102.08231675623458,51.79241669010437
1770,22:25:05:064,0.0,0.0,0.0,101.50371184977867,51.39047114015854
1771,22:25:05:084,0.0,0.0,0.0,101.50371184977867,51.39047114015854
1772,22:25:05:097,0.0,0.0,0.0,101.50371184977867,51.39047114015854
1773,22:25:05:113,0.0,0.0,0.0,100.55923593686249,50.73777771239865
1774,22:25:05:130,0.0,0.0,0.0,100.55923593686249,50.73777771239865
1775,22:25:05:147,0.0,0.0,0.0,100.55923593686249,50.73777771239865
1776,22:25:05:281,0.0,0.0,1.0,98.59584587568048,49.39204936247379
1777,22:25:05:286,0.0,0.0,1.0,96.63700794387245,48.0547987197171
1778,22:25:05:302,0.0,0.0,1.0,96.63700794387245,48.0547987197171
1779,22:25:05:320,0.0,0.0,1.0,96.1354934958045,47.71264721446823
1780,22:25:05:353,0.0,0.0,1.0,96.1354934958045,47.71264721446823
1781,22:25:05:372,0.0,0.0,1.0,96.1354934958045,47.71264721446823
1782,22:25:05:387,0.0,0.0,1.0,96.1354934958045,47.71264721446823
1783,22:25:05:450,0.0,0.0,1.0,93.5491673740869,45.9335299926497
1784,22:25:05:454,0.0,0.0,1.0,93.01685551273103,45.563305564821256
1785,22:25:05:469,0.0,0.0,1.0,93.01685551273103,45.563305564821256
1786,22:25:05:488,0.0,0.0,1.0,93.01685551273103,45.563305564821256
1787,22:25:05:503,0.0,0.0,1.0,91.97500181208548,44.83213110269188
