tick,time,steerCmd,brakeCmd,throttleCmd,distance1,distance2,distanc3,Location_X,Location_Y,Location_Z,Rotation_Pitch,Rotation_Yaw,Rotation_Roll,distance3
252,21:33:26:407,-0.00866091251373291,0.0,1.0,125.76213972257679,329.7703741129681,,-396.79608154296875,33.72611618041992,-0.019915809854865074,0.12976676225662231,-0.2105407565832138,0.0002399384102318436,544.0897669307232
253,21:33:26:433,0.0006042480817995965,0.0,1.0,124.51150522154435,328.519618966113,,-395.5447692871094,33.72132873535156,-0.019839515909552574,0.1186198890209198,-0.356414794921875,0.007706710137426853,542.8387383865728
254,21:33:26:458,0.002517700893804431,0.0,1.0,124.20122261311076,328.2093168212218,,-395.23431396484375,33.72003936767578,-0.01987338997423649,0.12366056442260742,-0.3802489936351776,0.007943605072796345,542.5283543990054
255,21:33:26:510,0.003222657600417733,0.0,1.0,123.61750879536638,327.6255668149468,,-394.6502685546875,33.7175178527832,-0.01994827203452587,0.13477328419685364,-0.4116820991039276,0.007509994320571423,541.9444460799424
256,21:33:26:540,0.003222657600417733,0.0,1.0,123.61750879536638,327.6255668149468,,-394.6502685546875,33.7175178527832,-0.01994827203452587,0.13477328419685364,-0.4116820991039276,0.007509994320571423,541.9444460799424
257,21:33:26:562,0.003222657600417733,0.0,1.0,122.52836352682932,326.53634692082744,,-393.56048583984375,33.71241760253906,-0.020076027140021324,0.1536792516708374,-0.4337157905101776,0.0069691212847828865,540.8549227464734
258,21:33:26:589,0.003222657600417733,0.0,1.0,122.28891375301984,326.2968757288996,,-392.9812316894531,33.70952606201172,-0.020124472677707672,0.16082362830638885,-0.4311522841453552,0.0068916743621230125,540.6153872799562
259,21:33:26:616,0.003222657600417733,0.0,1.0,121.63559268088669,325.6435209978473,,-392.66717529296875,33.70791244506836,-0.02014617808163166,0.1640133261680603,-0.426422119140625,0.006781180389225483,539.9618278252578
260,21:33:26:643,0.003222657600417733,0.0,1.0,121.36680674071461,325.3747198289408,,-392.0438537597656,33.70466613769531,-0.02018924616277218,0.1677016317844391,-0.4119262397289276,0.005278604105114937,539.692942101596
261,21:33:26:669,0.003222657600417733,0.0,1.0,121.01265631021866,325.0205518478556,,-392.0438537597656,33.70466613769531,-0.02018924616277218,0.1677016317844391,-0.4119262397289276,0.005278604105114937,539.3386590139285
262,21:33:26:694,0.003222657600417733,0.0,1.0,121.01265631021866,325.0205518478556,,-392.0438537597656,33.70466613769531,-0.02018924616277218,0.1677016317844391,-0.4119262397289276,0.005278604105114937,539.3386590139285
263,21:33:26:717,0.003222657600417733,0.0,1.0,119.921667347017,323.9294740916901,,-390.9521789550781,33.69889450073242,-0.02035629190504551,0.16367864608764648,-0.3734435737133026,0.0020449648145586252,538.2472526913635
264,21:33:26:745,0.003222657600417733,0.0,1.0,119.36068477847358,323.3684556950754,,-390.3908386230469,33.69594955444336,-0.020473670214414597,0.1586311310529709,-0.348968505859375,0.00015975987480487674,537.6860515870794
265,21:33:26:771,0.003222657600417733,0.0,1.0,119.04042462496825,323.04818112189025,,-390.07037353515625,33.694297790527344,-0.020546531304717064,0.15523652732372284,-0.33392333984375,-0.0010681151179596782,537.365665868562
266,21:33:26:816,0.003222657600417733,0.0,1.0,118.34674876205568,322.35446325393093,,-389.3762512207031,33.6908073425293,-0.020737724378705025,0.14882297813892365,-0.2992859184741974,-0.004547119606286287,536.6717163691019
267,21:33:26:858,0.003222657600417733,0.0,1.0,118.34674876205568,322.35446325393093,,-389.3762512207031,33.6908073425293,-0.020737724378705025,0.14882297813892365,-0.2992859184741974,-0.004547119606286287,536.6717163691019
268,21:33:26:883,0.003222657600417733,0.0,1.0,116.96421662298927,320.9718314172559,,-387.9928283691406,33.684383392333984,-0.02128753624856472,0.14316076040267944,-0.2242736518383026,-0.01171875,535.2886355110223
269,21:33:26:908,0.003222657600417733,0.0,1.0,116.59375775756955,320.60135005164165,,-387.62213134765625,33.68281936645508,-0.021448668092489243,0.14257335662841797,-0.2032470703125,-0.01428222469985485,534.9180295282041
270,21:33:26:933,0.0026184087619185448,0.0,1.0,116.23363586168361,320.24120664143123,,-387.26177978515625,33.681400299072266,-0.021582527086138725,0.14372766017913818,-0.1828918308019638,-0.02139282412827015,534.5577652226524
