steerCmd,brakeCmd,throttleCmd
0,0,0,158.97860354811706
0,0,0,362.71596071756545
0,0,0,567.2231935667091
-0.016717702341418367,0,0.9932669851660886,0
0,0,0,158.8739575071257
0,0,0,362.60462335448545
0,0,0,567.1117774024208
-0.009567293176211463,0,0.9932669851660886,0
0,0,0,158.68009497968686
0,0,0,362.39437126113387
0,0,0,566.9015002007917
-0.002215576574681424,0,0.9932669851660886,0
0,0,0,158.54184464125458
0,0,0,362.2465981120946
0,0,0,566.7536551403982
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,158.411306690909
0,0,0,362.1083645330936
0,0,0,566.6153451525265
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,158.20334887613063
0,0,0,361.8847385905568
0,0,0,566.3916906154043
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,158.07722996727674
0,0,0,361.7517409263862
0,0,0,566.2586127131824
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,157.87861571557522
0,0,0,361.5233529277454
0,0,0,566.0304468784055
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,157.523468495876
0,0,0,361.1438783016791
0,0,0,565.6508825785099
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,157.523468495876
0,0,0,361.1438783016791
0,0,0,565.6508825785099
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,157.1832721450163
0,0,0,360.77333793896116
0,0,0,565.2804179428434
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,156.94665453031288
0,0,0,360.5195079969902
0,0,0,565.0265088215139
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,156.66878331365155
0,0,0,360.2217584344728
0,0,0,564.7286871353111
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,156.25941487582455
0,0,0,359.773334457828
0,0,0,564.2803175454706
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,156.13543364321933
0,0,0,359.64433875840666
0,0,0,564.1512069098153
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,156.1663229356099
0,0,0,359.6437023220144
0,0,0,564.1512072357646
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,155.447499650991
0,0,0,358.9074508276094
0,0,0,563.4141530538354
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,155.30453622403883
0,0,0,358.7464023215988
0,0,0,563.2531852477117
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,154.87281984080718
0,0,0,358.2908061512396
0,0,0,562.7973398054853
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,154.57837667191077
0,0,0,357.98093091715026
0,0,0,562.4872846495459
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,154.57837667191077
0,0,0,357.98093091715026
0,0,0,562.4872846495459
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,154.1233293287423
0,0,0,357.4915663640458
0,0,0,561.9978121039456
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,153.96527069019658
0,0,0,357.3269747409973
0,0,0,561.8330546467917
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,153.6599536732742
0,0,0,357.00569862758454
0,0,0,561.5115391344378
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,153.47165060452565
0,0,0,356.8114860980791
0,0,0,561.3171257375492
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,153.14185532848035
0,0,0,356.4653551957298
0,0,0,560.9707449418432
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,152.95376869983636
0,0,0,356.27172999482514
0,0,0,560.7769081571181
-0.0015106202448613845,0,0.9932669851660886,0
0,0,0,152.95376869983636
0,0,0,356.27172999482514
0,0,0,560.7769081571181
-0.0002014160159276344,0,0.9932669851660886,0
0,0,0,152.45992945983915
0,0,0,355.74799255842703
0,0,0,560.2529421626489
0.006042488639891035,0,0.9932669851660886,0
0,0,0,151.89799672366206
0,0,0,355.1421821546866
0,0,0,559.6469716204317
0.017825527158031318,0,0.9932669851660886,0
0,0,0,151.48545515951838
0,0,0,354.7076012466504
0,0,0,559.2121337863643
0.022458305262095656,0,0.9932669851660886,0
0,0,0,150.92079425913647
0,0,0,354.1019657011223
0,0,0,558.6064361745291
0.022458305262095656,0,0.9932669851660886,0
0,0,0,150.71381764975035
0,0,0,353.8888808714358
0,0,0,558.3931943231103
0.022458305262095656,0,0.9932669851660886,0
0,0,0,150.09168441315455
0,0,0,353.2350056128164
0,0,0,557.7393581071776
0.02215616453387398,0,0.9932669851660886,0
0,0,0,149.61820919586137
0,0,0,352.73009914477416
0,0,0,557.23445011318
0.02205545105797939,0,0.9932669851660886,0
0,0,0,149.4257870703807
0,0,0,352.5227602629648
