tick,time,Steer,Brake,Throttle,Distance_Bicycle,Distance_Motorbike,Distance_SmallCar,Location_X,Location_Y,Location_Z,Rotation_Pitch,Rotation_Yaw,Rotation_Roll,Speed_kmh,Heading,GNSS_Latitude,GNSS_Longitude,Height,Reverse,Hand_Brake,Manual,Gear,Collision_History,Nearby_Vehicles_Count,Nearby_Vehicles_Details
688,22:04:40:109,0.001208496163599193,0.0,0.0,429.03514428829624,225.07881338355335,11.255173755303028,157.87298583984375,35.08173751831055,9.033968925476074,-2.2030911445617676,1.022024154663086,-0.0341796837747097,80.83092704490622,NE,,,,False,False,False,5,,,
689,22:04:40:182,0.001208496163599193,0.0,0.0,430.7008780103705,226.74599568859304,12.843616990036777,159.54026794433594,35.10810089111328,8.967884063720703,-2.3057215213775635,1.0797700881958008,-0.037933349609375,80.56173314178751,NE,,,,False,False,False,5,,,
690,22:04:40:217,0.001208496163599193,0.0,0.0,431.10376148999427,227.1492332989539,13.230747618210037,159.9435272216797,35.11468505859375,8.95167064666748,-2.3219568729400635,1.0930275917053223,-0.0388793908059597,80.47431959945723,NE,,,,False,False,False,5,,,
691,22:04:40:244,0.001208496163599193,0.0,0.0,431.10376148999427,227.1492332989539,13.230747618210037,159.9435272216797,35.11468505859375,8.95167064666748,-2.3219568729400635,1.0930275917053223,-0.0388793908059597,80.47431959945723,NE,,,,False,False,False,5,,,
692,22:04:40:289,0.001208496163599193,0.0,0.0,433.33707821564866,229.38452672093837,15.391773680616913,162.17892456054688,35.15262985229492,8.860869407653809,-2.3868095874786377,1.1622402667999268,-0.04412841796875,79.87567033325706,NE,,,,False,False,False,5,,,
693,22:04:40:349,0.0011077881790697575,0.0,0.9906898140907288,434.5699228572145,230.61847560954158,16.593214282655154,163.4129180908203,35.17466354370117,8.809829711914062,-2.454312324523926,1.1969943046569824,-0.0464172400534153,79.48601146815385,NE,,,,False,False,False,5,,,
694,22:04:40:411,0.0011077881790697575,0.0,0.9906898140907288,434.9933264154535,231.0422599673568,17.00691801009709,163.8367156982422,35.18240737915039,8.792194366455078,-2.4808270931243896,1.2084522247314453,-0.0471191368997097,79.34783020848928,NE,,,,False,False,False,5,,,
695,22:04:40:457,0.0011077881790697575,0.0,0.9906898140907288,436.7617553469754,232.812299806397,18.739801615048442,165.60679626464844,35.21571731567383,8.71744155883789,-2.5426881313323975,1.2551132440567017,-0.0497741624712944,78.8092964478849,NE,,,,False,False,False,5,,,
696,22:04:40:524,0.0011077881790697575,0.0,0.9906898140907288,438.42266713192566,234.47474151625138,20.373260495638394,167.26925659179688,35.2484245300293,8.646141052246094,-2.5548388957977295,1.2971502542495728,-0.0519409105181694,78.45621615471686,NE,,,,False,False,False,5,,,
697,22:04:40:557,0.0011077881790697575,0.0,0.9906898140907288,438.85811223448394,234.91059245014236,20.802292872083846,167.70510864257812,35.25722122192383,8.62722396850586,-2.565152645111084,1.3077669143676758,-0.052429188042879105,78.39894839390155,NE,,,,False,False,False,5,,,
698,22:04:40:618,-0.0011077881790697575,0.0,0.9906898140907288,440.5523208632198,236.6063885767195,22.47415231058118,169.40089416503906,35.2921142578125,8.552912712097168,-2.6185851097106934,1.3362133502960205,-0.0499267540872097,78.2977528717016,NE,,,,False,False,False,5,,,
699,22:04:40:648,-0.0011077881790697575,0.0,0.9906898140907288,440.9754808514556,237.029948983021,22.892310996423294,169.82444763183594,35.30098342895508,8.53411865234375,-2.6246025562286377,1.339790940284729,-0.0487365648150444,78.30062738060106,NE,,,,False,False,False,5,,,
700,22:04:40:692,-0.0011077881790697575,0.0,0.9906898140907288,442.1258531760379,238.18142118143783,24.030116732942886,170.97589111328125,35.32537078857422,8.48258113861084,-2.619234085083008,1.3439563512802124,-0.045379638671875,78.35902062735103,NE,,,,False,False,False,5,,,
701,22:04:40:730,-0.0011077881790697575,0.0,0.9906898140907288,442.1258531760379,238.18142118143783,24.030116732942886,170.97589111328125,35.32537078857422,8.48258113861084,-2.619234085083008,1.3439563512802124,-0.045379638671875,78.35902062735103,NE,,,,False,False,False,5,,,
702,22:04:40:796,-0.0011077881790697575,0.0,0.9906898140907288,444.3356619268821,240.3933665185207,26.219396499646187,173.187744140625,35.37314987182617,8.382431030273438,-2.6122329235076904,1.3333150148391724,-0.0388793908059597,78.64747004303905,NE,,,,False,False,False,5,,,
703,22:04:40:872,-0.0011077881790697575,0.0,0.9906898140907288,445.8762245650193,241.93543987143715,27.748006125227068,174.72972106933594,35.40693664550781,8.311491012573242,-2.652886390686035,1.315317153930664,-0.0332641564309597,78.95766656823426,NE,,,,False,False,False,5,,,
704,22:04:40:905,-0.0011077881790697575,0.0,0.9906898140907288,445.8762245650193,241.93543987143715,27.748006125227068,174.72972106933594,35.40693664550781,8.311491012573242,-2.652886390686035,1.315317153930664,-0.0332641564309597,78.95766656823426,NE,,,,False,False,False,5,,,
705,22:04:40:967,-0.0011077881790697575,0.0,0.9906898140907288,448.1181057391792,244.1795609486866,29.975331463176744,176.97364807128906,35.45637512207031,8.206392288208008,-2.6447720527648926,1.2797380685806274,-0.02438354678452015,79.52692173213919,NE,,,,False,False,False,5,,,
